"idx","sex","status","grade"
"83610","남","유료회원","초2학년"
"17235","남","유료회원","초3학년"
"63719","여","유료회원","초5학년"
"66280","남","유료회원","초4학년"
"1674","여","유료회원","초5학년"
"13144","여","유료회원","초6학년"
"15998","여","유료회원","초2학년"
"88581","여","유료회원","초2학년"
"27684","여","유료회원","초3학년"
"24209","남","유료회원","초2학년"
"39315","여","유료회원","초4학년"
"6269","남","유료회원","초3학년"
"54936","정보없음","유료회원","초2학년"
"4875","남","유료회원","초5학년"
"45965","남","유료회원","초1학년"
"54309","남","유료회원","초5학년"
"34907","남","유료회원","초2학년"
"10004","여","유료회원","초3학년"
"27698","남","유료회원","초3학년"
"38192","여","유료회원","초4학년"
"64712","여","유료회원","초4학년"
"77340","남","유료회원","초4학년"
"42042","여","유료회원","0학년"
"17240","여","유료회원","초2학년"
"79884","여","유료회원","초3학년"
"53797","남","유료회원","초5학년"
"5910","남","유료회원","초2학년"
"63449","정보없음","유료회원","초3학년"
"6113","여","유료회원","초2학년"
"61445","남","유료회원","초3학년"
"17634","여","유료회원","초3학년"
"11285","여","유료회원","초2학년"
"2218","여","유료회원","초3학년"
"43675","여","유료회원","초5학년"
"30445","남","유료회원","초2학년"
"7502","여","유료회원","초2학년"
"5636","남","유료회원","초4학년"
"98734","남","유료회원","초1학년"
"2143","남","유료회원","초4학년"
"91382","남","유료회원","초2학년"
"14686","여","유료회원","초6학년"
"31029","여","유료회원","초4학년"
"39895","여","유료회원","초3학년"
"11059","남","유료회원","초5학년"
"1308","여","유료회원","초4학년"
"3601","남","유료회원","초3학년"
"32293","여","유료회원","초2학년"
"10743","여","유료회원","초4학년"
"38689","여","유료회원","초1학년"
"85496","여","유료회원","초2학년"
"2685","여","유료회원","초4학년"
"40797","남","유료회원","초4학년"
"51188","여","유료회원","초4학년"
"48163","여","유료회원","초2학년"
"19216","남","유료회원","초5학년"
"55121","여","유료회원","초2학년"
"5564","남","유료회원","초2학년"
"25593","여","유료회원","초3학년"
"3681","정보없음","유료회원","초5학년"
"3039","남","유료회원","초5학년"
"76584","여","유료회원","초3학년"
"71202","남","유료회원","초4학년"
"18086","여","유료회원","초4학년"
"29837","남","유료회원","초1학년"
"94714","여","유료회원","초1학년"
"4664","여","유료회원","초2학년"
"21343","정보없음","유료회원","초6학년"
"43241","남","유료회원","초3학년"
"84513","남","유료회원","초3학년"
"10117","여","유료회원","초2학년"
"21818","여","유료회원","초2학년"
"7762","여","유료회원","초2학년"
"71147","여","유료회원","초2학년"
"43842","남","유료회원","초4학년"
"22138","남","유료회원","초6학년"
"32819","남","유료회원","초2학년"
"23118","남","유료회원","초1학년"
"58477","남","유료회원","초3학년"
"71057","남","유료회원","초3학년"
"25667","남","유료회원","초3학년"
"89302","여","유료회원","초6학년"
"60920","여","유료회원","초3학년"
"6152","여","유료회원","초6학년"
"15582","남","유료회원","초3학년"
"27776","여","유료회원","초5학년"
"10370","여","유료회원","초6학년"
"57496","남","유료회원","초5학년"
"10985","여","유료회원","초4학년"
"16821","여","유료회원","0학년"
"75909","여","유료회원","초2학년"
"73257","여","유료회원","초3학년"
"53900","남","유료회원","0학년"
"10234","남","유료회원","초1학년"
"92101","남","유료회원","초1학년"
"18576","여","유료회원","초2학년"
"84450","남","유료회원","초5학년"
"31266","남","유료회원","초1학년"
"1255","여","유료회원","초3학년"
"35567","여","유료회원","초3학년"
"44628","남","유료회원","초2학년"
"33310","남","유료회원","초5학년"
"347","남","유료회원","초3학년"
"1971","여","유료회원","초3학년"
"46221","남","유료회원","초2학년"
"9161","남","유료회원","초4학년"
"32926","남","유료회원","초2학년"
"84109","남","유료회원","초4학년"
"67124","남","유료회원","초5학년"
"90578","남","유료회원","초3학년"
"22976","여","유료회원","초4학년"
"36605","여","유료회원","초1학년"
